Date,Open,High,Low,Close,Volume,Adj Close
2017-01-31,226.979996,227.600006,226.320007,227.529999,71553600,227.529999
2017-01-30,228.169998,228.199997,226.410004,227.550003,74930800,227.550003
2017-01-27,229.419998,229.589996,228.759995,228.970001,56311600,228.970001
2017-01-26,229.399994,229.710007,229.009995,229.330002,58208000,229.330002
2017-01-25,228.699997,229.570007,228.509995,229.570007,80932500,229.570007
2017-01-24,226.399994,228.080002,226.270004,227.600006,89144800,227.600006
2017-01-23,226.740005,226.809998,225.270004,226.149994,72331900,226.149994
2017-01-20,226.699997,227.309998,225.970001,226.740005,116431700,226.740005
2017-01-19,226.839996,227.00,225.410004,225.910004,65357500,225.910004
2017-01-18,226.539993,226.800003,225.899994,226.75,51146400,226.75
2017-01-17,226.309998,226.779999,225.800003,226.25,59261200,226.25
2017-01-13,226.729996,227.399994,226.690002,227.050003,61907200,227.050003
2017-01-12,226.50,226.75,224.960007,226.529999,70354400,226.529999
2017-01-11,226.360001,227.100006,225.589996,227.100006,71423200,227.100006
2017-01-10,226.479996,227.449997,226.009995,226.460007,61045000,226.460007
2017-01-09,226.910004,227.070007,226.419998,226.460007,46265300,226.460007
2017-01-06,226.529999,227.75,225.899994,227.210007,69536300,227.210007
2017-01-05,226.270004,226.580002,225.479996,226.399994,77145900,226.399994
2017-01-04,225.240005,226.75,225.240005,226.580002,75801800,226.580002
2017-01-03,225.039993,225.830002,223.880005,225.240005,89895000,225.240005
